DPTO_CCDGO,MPIO_CCDGO,MPIO_CNMBR,MPIO_CDPMP,LLAVE_MUNICIPIO,VERSION,AREA,LATITUD,LONGITUD,TSP16_HOG,STP27_PERS
17,524,PALESTINA,17524,COLOMBIA - 17524,2018,112230143,5.050342543,-75.66176266,4515,13560
17,513,PÁCORA,17513,COLOMBIA - 17513,2018,257120201.7,5.500035035,-75.48245057,4631,13214
17,614,RIOSUCIO,17614,COLOMBIA - 17614,2018,384169470.5,5.442275418,-75.75220499,14481,48329
63,1,ARMENIA,63001,COLOMBIA - 63001,2018,121617416.1,4.499501128,-75.72489985,95459,275641
63,111,BUENAVISTA,63111,COLOMBIA - 63111,2018,38458099.47,4.366632382,-75.74403734,916,2741
63,130,CALARCÁ,63130,COLOMBIA - 63130,2018,220836289.9,4.467879428,-75.65674719,24053,70662
63,190,CIRCASIA,63190,COLOMBIA - 63190,2018,90322887.46,4.604845344,-75.66688449,9024,27135
63,212,CÓRDOBA,63212,COLOMBIA - 63212,2018,92976248.17,4.395975176,-75.65132308,1950,5535
63,272,FILANDIA,63272,COLOMBIA - 63272,2018,106562009.7,4.669325347,-75.67146941,4015,11345
63,302,GÉNOVA,63302,COLOMBIA - 63302,2018,294937718.6,4.180107773,-75.76056695,2421,7121
63,401,LA TEBAIDA,63401,COLOMBIA - 63401,2018,89379745.58,4.435674156,-75.81732136,10282,32564
63,470,MONTENEGRO,63470,COLOMBIA - 63470,2018,149057512.3,4.521890945,-75.81806594,11715,35324
63,548,PIJAO,63548,COLOMBIA - 63548,2018,248582616.7,4.30397934,-75.68330417,1612,4877
63,594,QUIMBAYA,63594,COLOMBIA - 63594,2018,133520354,4.610273497,-75.79205087,9888,29117
63,690,SALENTO,63690,COLOMBIA - 63690,2018,347319948.6,4.611314654,-75.53092112,2896,7578
66,1,PEREIRA,66001,COLOMBIA - 66001,2018,608165990.6,4.781290273,-75.71236139,138945,409670
66,45,APÍA,66045,COLOMBIA - 66045,2018,149980511.4,5.139635357,-75.9535387,3572,10707
66,75,BALBOA,66075,COLOMBIA - 66075,2018,119485984.9,4.918349676,-75.94275386,1591,5009
66,88,BELÉN DE UMBRÍA,66088,COLOMBIA - 66088,2018,180600438.7,5.200398696,-75.86793893,6976,21450
66,170,DOSQUEBRADAS,66170,COLOMBIA - 66170,2018,70128866.84,4.842021144,-75.66993655,64576,194890
66,318,GUÁTICA,66318,COLOMBIA - 66318,2018,100820639.1,5.320295966,-75.80436659,4026,11532
66,383,LA CELIA,66383,COLOMBIA - 66383,2018,92473661.48,4.988127679,-76.00822678,2121,6178
66,400,LA VIRGINIA,66400,COLOMBIA - 66400,2018,32801213.13,4.904704187,-75.85208162,8786,25900
66,440,MARSELLA,66440,COLOMBIA - 66440,2018,149319137.4,4.942936185,-75.7532139,5327,15455
66,456,MISTRATÓ,66456,COLOMBIA - 66456,2018,564743480.2,5.414078141,-75.96135387,4381,16203
66,572,PUEBLO RICO,66572,COLOMBIA - 66572,2018,613767813.2,5.286295408,-76.07359421,3758,14429
66,594,QUINCHÍA,66594,COLOMBIA - 66594,2018,140130061.9,5.323906864,-75.71339683,7585,25213
66,682,SANTA ROSA DE CABAL,66682,COLOMBIA - 66682,2018,543492629.6,4.833789828,-75.54950174,22355,71174
66,687,SANTUARIO,66687,COLOMBIA - 66687,2018,190864023.7,5.045977696,-75.98198273,3933,11787
5,1,MEDELLÍN,5001,COLOMBIA - 5001,2018,374830624.8,6.257590259,-75.61103107,815493,2372330
5,101,CIUDAD BOLÍVAR,5101,COLOMBIA - 5101,2018,260446107.9,5.840995666,-76.01065253,7495,23361
5,107,BRICEÑO,5107,COLOMBIA - 5107,2018,376346756.4,7.111788462,-75.56223474,2032,5946
5,113,BURITICÁ,5113,COLOMBIA - 5113,2018,355210255.8,6.80906489,-75.91206595,2214,7409
5,120,CÁCERES,5120,COLOMBIA - 5120,2018,1873802834,7.665155105,-75.22369744,7594,26460
5,93,BETULIA,5093,COLOMBIA - 5093,2018,262367502.6,6.185783612,-75.95649246,4754,15097
5,91,BETANIA,5091,COLOMBIA - 5091,2018,180525986.8,5.727081285,-75.98689107,2663,8589
5,88,BELLO,5088,COLOMBIA - 5088,2018,147758418,6.358841086,-75.58973588,161647,481901
5,86,BELMIRA,5086,COLOMBIA - 5086,2018,296153167.1,6.653662775,-75.6538512,1563,5349
5,79,BARBOSA,5079,COLOMBIA - 5079,2018,205666168.1,6.443417935,-75.32924085,16130,44757
5,59,ARMENIA,5059,COLOMBIA - 5059,2018,110434975,6.163683758,-75.80995528,1577,3819
5,55,ARGELIA,5055,COLOMBIA - 5055,2018,245341782.3,5.708114524,-75.09469795,2266,6752
5,51,ARBOLETES,5051,COLOMBIA - 5051,2018,754251902,8.611395262,-76.41478317,7700,26289
5,44,ANZÁ,5044,COLOMBIA - 5044,2018,255923313.9,6.308040259,-75.91259087,2113,6388
5,42,SANTA FÉ DE ANTIOQUIA,5042,COLOMBIA - 5042,2018,525601374.5,6.535711576,-75.90426658,8083,23216
5,40,ANORÍ,5040,COLOMBIA - 5040,2018,1413773904,7.193110778,-75.10848954,4741,14502
5,38,ANGOSTURA,5038,COLOMBIA - 5038,2018,338666482.1,6.861498764,-75.358316,3316,10500
5,36,ANGELÓPOLIS,5036,COLOMBIA - 5036,2018,81876301.62,6.121430303,-75.71594966,1722,5027
5,34,ANDES,5034,COLOMBIA - 5034,2018,402502562.4,5.623952296,-75.92459101,12242,38144
5,31,AMALFI,5031,COLOMBIA - 5031,2018,1209126871,6.977788843,-74.9812393,6798,20265
5,30,AMAGÁ,5030,COLOMBIA - 5030,2018,84132476.91,6.032921994,-75.7080031,8884,26821
5,21,ALEJANDRÍA,5021,COLOMBIA - 5021,2018,128932153.2,6.365534125,-75.09059702,1384,3839
5,4,ABRIAQUÍ,5004,COLOMBIA - 5004,2018,296955980.1,6.627569378,-76.08597756,776,2159
5,2,ABEJORRAL,5002,COLOMBIA - 5002,2018,507134114.2,5.803728154,-75.43847353,6028,17599
5,895,ZARAGOZA,5895,COLOMBIA - 5895,2018,1167357616,7.474004006,-74.85848326,7247,24067
5,893,YONDÓ,5893,COLOMBIA - 5893,2018,1894987489,6.925159318,-74.15824041,5469,17597
5,890,YOLOMBÓ,5890,COLOMBIA - 5890,2018,1012514620,6.645325524,-74.9227541,6310,19010
5,887,YARUMAL,5887,COLOMBIA - 5887,2018,738256263.3,6.9881309,-75.45439957,11371,36337
5,885,YALÍ,5885,COLOMBIA - 5885,2018,440858311.8,6.716870679,-74.75565002,2246,6234
5,861,VENECIA,5861,COLOMBIA - 5861,2018,139674310.6,5.956576355,-75.77722423,3633,10280
5,858,VEGACHÍ,5858,COLOMBIA - 5858,2018,524955009.2,6.836535122,-74.7540302,3598,11134
